ID_Regiao,Nome_Regiao,ID_Municipio,Nome_Municipio
12,Araçatuba,13,Alto Alegre
12,Araçatuba,24,Andradina
12,Araçatuba,32,Araçatuba
12,Araçatuba,49,Auriflama
12,Araçatuba,51,Avanhandava
12,Araçatuba,58,Barbosa
12,Araçatuba,70,Bento de Abreu
12,Araçatuba,73,Bilac
12,Araçatuba,74,Birigui
12,Araçatuba,88,Braúna
12,Araçatuba,89,Brejo Alegre
12,Araçatuba,93,Buritama
12,Araçatuba,126,Castilho
12,Araçatuba,135,Clementina
12,Araçatuba,141,Coroados
12,Araçatuba,191,Gabriel Monteiro
12,Araçatuba,194,Gastão Vidigal
12,Araçatuba,196,General Salgado
12,Araçatuba,198,Glicério
12,Araçatuba,205,Guaraçaí
12,Araçatuba,209,Guararapes
12,Araçatuba,217,Guzolândia
12,Araçatuba,236,Ilha Solteira
12,Araçatuba,266,Itapura
12,Araçatuba,302,Lavínia
12,Araçatuba,310,Lourdes
12,Araçatuba,315,Luiziânia
12,Araçatuba,341,Mirandópolis
12,Araçatuba,362,Murutinga do Sul
12,Araçatuba,373,Nova Castilho
12,Araçatuba,377,Nova Independência
12,Araçatuba,378,Nova Luzitânia
12,Araçatuba,423,Penápolis
12,Araçatuba,424,Pereira Barreto
12,Araçatuba,427,Piacatu
12,Araçatuba,501,Rubiácea
12,Araçatuba,540,Santo Antônio do Aracanguá
12,Araçatuba,544,Santópolis do Aguapeí
12,Araçatuba,553,São João de Iracema
12,Araçatuba,585,Sud Mennucci
12,Araçatuba,587,Suzanápolis
12,Araçatuba,621,Turiúba
12,Araçatuba,633,Valparaíso
6,Bauru,8,Agudos
6,Bauru,17,Álvaro de Carvalho
6,Bauru,18,Alvinlândia
6,Bauru,39,Arco-Íris
6,Bauru,40,Arealva
6,Bauru,50,Avaí
6,Bauru,54,Balbinos
6,Bauru,59,Bariri
6,Bauru,60,Barra Bonita
6,Bauru,66,Bastos
6,Bauru,68,Bauru
6,Bauru,71,Bernardino de Campos
6,Bauru,77,Bocaina
6,Bauru,82,Borá
6,Bauru,83,Boracéia
6,Bauru,85,Borebi
6,Bauru,95,Cabrália Paulista
6,Bauru,100,Cafelândia
6,Bauru,117,Canitar
6,Bauru,134,Chavantes
