Nome_Municipio,latitude,longitude
Adamantina,-21.6866517,-51.0762975
Adolfo,-21.2356597,-49.6441918
Aguaí,-22.0592036,-46.979384
Agudos,-22.4719836,-48.9884476
Alambari,-23.550338,-47.897971
Alfredo Marcondes,-21.9527,-51.413956
Altair,-20.5238955,-49.0606135
Altinópolis,-21.021364,-47.3712
Alto Alegre,-21.5820592,-50.1661976
Alumínio,-23.5203479,-47.2575256
Alvinlândia,-22.4431852,-49.7643596
Americana,-22.7392463,-47.3306032
Amparo,-22.70111,-46.76444
Américo Brasiliense,-21.7297099,-48.1052092
Américo de Campos,-20.298476,-49.735904
Analândia,-22.128917,-47.661939
Andradina,-20.896505,-51.3742765
Angatuba,-23.4938938,-48.4110675
Anhembi,-22.7891096,-48.1316776
Anhumas,-22.2956478,-51.3873401
Aparecida,-22.851552,-45.2340924
Aparecida d'Oeste,-20.4498109,-50.8808706
Apiaí,-24.5076527,-48.8461582
Aramina,-20.0876144,-47.789201
Arandu,-23.1345103,-49.0545651
Arapeí,-22.6738889,-44.4477778
Araraquara,-21.7886713,-48.1773096
Araras,-22.3569192,-47.3838766
Araçariguama,-23.4388277,-47.0613084
Araçatuba,-21.207992,-50.4390225
Araçoiaba da Serra,-23.5045367,-47.6168158
Arco-Íris,-21.7741308,-50.4668814
Arealva,-22.0301906,-48.9111936
Areias,-22.5800929,-44.6975127
Areiópolis,-22.6758064,-48.6673653
Ariranha,-21.18716,-48.790418
Artur Nogueira,-22.572737,-47.172679
Arujá,-23.396266,-46.3175449
Aspásia,-20.1596604,-50.7279226
Assis,-22.6620892,-50.420623
Atibaia,-23.1177393,-46.5547861
Auriflama,-20.6840418,-50.5554616
Avanhandava,-21.4603331,-49.9465156
Avaré,-23.1045215,-48.9259103
Avaí,-22.1564662,-49.3316395
Bady Bassitt,-20.9178969,-49.4517911
Balbinos,-21.9006253,-49.3583966
Bananal,-22.6820178,-44.3221805
Barbosa,-21.265661,-49.951816
Bariri,-22.0746355,-48.7394852
Barra Bonita,-22.490859,-48.558349
Barra do Chapéu,-24.472203,-49.023784
Barra do Turvo,-24.756421,-48.5056942
Barretos,-20.5531437,-48.5697509
Barrinha,-21.1898849,-48.1550642
Barueri,-23.5112184,-46.8764612
Barão de Antonina,-23.6295651,-49.5632104
